,mode,pops,repetition_id,service,time_emulator_boot,time_service_instantiate,time_service_onboard,time_total
0,docker,1,0,examples/sonata_pkgs/eu.sonata-nfv.vfoward-2-1-test.0.2.1-vm.son,2.46156215668,56.1097021103,0.102761030197,58.6741480827
1,docker,1,1,examples/sonata_pkgs/eu.sonata-nfv.vfoward-2-1-test.0.2.1-vm.son,2.44933199883,55.8670110703,0.104974985123,58.421435833
2,docker,1,2,examples/sonata_pkgs/eu.sonata-nfv.vfoward-2-1-test.0.2.1-vm.son,2.44987392426,56.145195961,0.101727962494,58.6969261169
3,docker,1,3,examples/sonata_pkgs/eu.sonata-nfv.vfoward-2-1-test.0.2.1-vm.son,2.4710559845,55.9698250294,0.109857082367,58.5508711338
4,docker,1,4,examples/sonata_pkgs/eu.sonata-nfv.vfoward-2-1-test.0.2.1-vm.son,2.47246003151,55.7812359333,0.105508089066,58.3593389988
5,docker,1,5,examples/sonata_pkgs/eu.sonata-nfv.vfoward-2-1-test.0.2.1-vm.son,2.48356795311,56.1011481285,0.105004072189,58.6898400784
6,docker,1,6,examples/sonata_pkgs/eu.sonata-nfv.vfoward-2-1-test.0.2.1-vm.son,2.50326108932,56.1963531971,0.115089178085,58.8148350716
7,docker,1,7,examples/sonata_pkgs/eu.sonata-nfv.vfoward-2-1-test.0.2.1-vm.son,2.5531680584,55.8733489513,0.11275100708,58.5393788815
8,docker,1,8,examples/sonata_pkgs/eu.sonata-nfv.vfoward-2-1-test.0.2.1-vm.son,2.55328297615,55.7808680534,0.11094212532,58.4452040195
9,docker,1,9,examples/sonata_pkgs/eu.sonata-nfv.vfoward-2-1-test.0.2.1-vm.son,2.55836892128,55.6149730682,0.108613014221,58.2820849419
